날짜,한국은행기준금리, 반도체수출금액지수,말일종가,최고가(종가),최저가(종가),거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균,수출물가,공업제품,수입물가,원자재,중간재,최종재,WTI종가,WTI거래량,WTI변동률
200111월,4.00,19.91,,,,,,,,-8.3,-8.5,-8.2,-11.2,5.6,7.4,19.44,1.54M,-8.22
200112월,4.00,17.03,,,,,,,,-11.6,-11.7,-8.5,-10.6,-0.3,4.7,19.84,1.20M,2.06
200201월,4.00,21.5,,,,,,,,-12.1,-12.2,-10.6,-12.4,-4.1,2.4,19.48,1.53M,-1.81
200202월,4.00,21.44,,,,,,,,-7.9,-8.0,-9.1,-10.8,-3.0,2.6,21.74,1.46M,11.6
200203월,4.00,26.83,,,,,,,,-6.0,-6.0,-5.9,-6.9,-2.9,1.8,26.31,1.57M,21.02
200204월,4.00,25.84,,,,,,,,-7.4,-7.4,-6.6,-7.2,-4.9,-0.7,27.29,1.80M,3.72
200205월,4.25,25.11,,,,,,,,-8.4,-8.4,-8.3,-9.0,-6.1,-2.0,25.31,1.88M,-7.26
200206월,4.25,25.23,,,,,,,,-10.1,-10.1,-10.6,-11.5,-7.5,-4.9,26.86,1.52M,6.12
200207월,4.25,26.61,,,,,,,,-10.0,-10.0,-10.3,-10.6,-9.0,-8.8,27.02,1.59M,0.6
200208월,4.25,27.74,,,,,,,,-7.2,-7.2,-8.2,-8.3,-8.2,-7.1,28.98,1.77M,7.25
200209월,4.25,26.03,,,,,,,,-6.5,-6.4,-5.5,-4.7,-9.1,-7.1,30.45,1.48M,5.07
200210월,4.25,29.89,,,,,,,,-3.1,-3.0,-0.4,1.0,-7.2,-3.5,27.22,1.87M,-10.61
200211월,4.25,30.78,,,,,,,,-2.5,-2.4,0.1,1.8,-7.1,-5.1,26.89,1.56M,-1.21
200212월,4.25,27.67,,,,,,,,-1.1,-1.1,2.9,5.1,-6.4,-4.9,31.2,1.63M,16.03
200301월,4.25,30.57,,,,,,,,-4.4,-4.3,2.5,4.9,-7.4,-6.8,33.51,1.89M,7.4
200302월,4.25,22.05,,,,,,,,-3.6,-3.5,5.2,7.8,-6.0,-3.9,36.6,1.71M,9.22
200303월,4.25,25.35,,,,,,,,-3.9,-3.9,2.8,4.2,-3.6,-1.1,31.04,1.58M,-15.19
200304월,4.25,26,,,,,,,,-7.1,-7.1,-3.5,-3.4,-4.0,-4.1,25.8,1.48M,-16.88
200305월,4.00,26.6,,,,,,,,-5.2,-5.2,-2.5,-2.6,-2.0,-3.3,29.56,1.63M,14.57
200306월,4.00,27.79,,,,,,,,-0.9,-1.0,1.3,1.7,-0.4,-0.3,30.19,1.53M,2.13
200307월,3.75,30.97,,,,,,,,0.5,0.5,3.2,3.9,-0.5,3.2,30.54,1.53M,1.16
200308월,3.75,33.53,,,,,,,,-0.1,-0.1,2.6,3.3,-1.4,1.8,31.57,1.66M,3.37
200309월,3.75,36.17,,,,,,,,-2.6,-2.7,-1.5,-1.6,-1.4,-1.0,29.2,1.65M,-7.51
200310월,3.75,39.82,,,,,,,,-3.4,-3.5,-0.8,-0.8,-0.8,-0.7,29.11,1.73M,-0.31
200311월,3.75,38.3,,,,,,,,1.9,1.8,6.4,7.2,2.4,4.5,30.41,1.57M,4.47
200312월,3.75,38.26,,,,,,,,3.3,3.1,6.5,6.8,4.3,6.3,32.52,1.55M,6.94
200401월,3.75,35.78,,,,,,,,5.7,5.4,7.4,4.9,9.3,5.7,33.05,1.83M,1.63
200402월,3.75,36.87,,,,,,,,2.4,2.2,3.7,-2.1,7.3,2.4,36.16,1.64M,9.41
200403월,3.75,41.52,,,,,,,,-0.2,-0.4,3.3,5.4,4.0,-2.0,35.76,2.00M,-1.11
200404월,3.75,43.23,,,,,,,,3.0,2.8,8.2,19.4,6.0,-1.5,37.38,1.97M,4.53
200405월,3.75,44.62,,,,,,,,8.9,8.7,14.6,32.8,10.0,2.3,39.88,1.89M,6.69
200406월,3.75,42.9,,,,,,,,7.3,7.1,12.4,25.1,9.6,1.9,37.05,1.95M,-7.1
200407월,3.75,41.63,,,,,,,,9.2,9.1,14.3,26.8,11.6,2.9,43.8,1.75M,18.22
200408월,3.50,42.67,,,,,,,,11.2,11.0,16.6,32.7,12.5,3.9,42.12,2.23M,-3.84
200409월,3.50,42.34,,,,,,,,12.6,12.5,17.0,34.9,12.6,3.7,49.64,2.04M,17.85
200410월,3.50,45.8,,,,,,,,13.0,13.0,16.8,34.0,13.0,1.8,51.76,2.08M,4.27
200411월,3.25,44.9,,,,,,,,5.1,5.1,8.2,18.8,6.4,-2.7,49.13,1.81M,-5.08
200412월,3.25,39.58,,,,,,,,-2.8,-2.6,0.7,8.9,-0.6,-8.3,43.45,1.85M,-11.56
200501월,3.25,45.21,,,,,,,,-1.6,-1.4,3.1,13.0,-1.8,-8.7,48.2,1.84M,10.93
200502월,3.25,42.32,,,,,,,,-2.1,-2.0,3.2,17.6,-3.4,-8.5,51.75,1.59M,7.37
200503월,3.25,47.75,,,,,,,,-3.5,-3.4,3.4,21.0,-4.0,-8.6,55.4,2.12M,7.05
200504월,3.25,45.4,,,,,,,,-4.0,-3.9,4.7,25.7,-3.5,-8.4,49.72,2.10M,-10.25
200505월,3.25,47.02,,,,,,,,-9.8,-9.7,-1.2,11.4,-6.7,-10.6,51.97,2.06M,4.53
200506월,3.25,47.88,,,,,,,,-8.0,-7.9,1.9,24.3,-6.6,-10.7,56.5,2.18M,8.72
200507월,3.25,49.66,,,,,,,,-7.1,-7.0,3.0,27.2,-6.3,-9.4,60.57,1.97M,7.2
200508월,3.25,49.37,,,,,,,,-10.3,-10.1,1.2,23.9,-7.6,-10.3,68.94,2.43M,13.82
200509월,3.25,48.99,,,,,,,,-9.4,-9.3,4.1,32.2,-6.3,-9.2,66.24,2.17M,-3.92
200510월,3.50,49.74,,,,,,,,-10.2,-10.1,0.6,24.3,-8.9,-9.3,59.76,1.93M,-9.78
200511월,3.50,47.85,,,,,,,,-8.3,-8.2,3.5,31.4,-7.5,-8.1,57.32,1.90M,-4.08
200512월,3.75,45.16,,,,,,,,-4.9,-4.9,7.6,40.7,-4.9,-5.9,61.04,1.84M,6.49
200601월,3.75,45.26,,,,,,,,-9.8,-9.8,2.2,36.6,-8.2,-8.1,67.92,2.15M,11.27
200602월,4.00,43.2,,,,,,,,-10.6,-10.6,1.2,31.2,-8.4,-8.2,61.41,2.26M,-9.58
