날짜,한국은행기준금리, 반도체수출금액지수,말일종가,최고가(종가),최저가(종가),거래량_합계,거래량_일평균,거래대금_합계,거래대금_일평균,수출물가,공업제품,수입물가,원자재,중간재,최종재,WTI종가,WTI거래량,WTI변동률,SOX종가,SOX변동률,삼성말일종가,삼성최고가(종가),삼성최저가(종가),삼성거래량_합계,삼성거래량_일평균,삼성거래대금_합계,삼성거래대금_일평균
201209월,3,84.32,"22,750","23,900","20,900","114,154,941","5,707,747","2,580,989,738,910","129,049,486,946",-3.4,-3.3,-2.2,-0.7,-4.3,0,92.19,4.34M,-4.44,382.27,-3.51,"1,346,000","1,346,000","1,189,000","6,093,053","304,653","7,830,806,209,109","391,540,310,455"
201210월,2.75,88.11,"24,850","24,850","22,250","89,916,882","4,281,756","2,126,109,390,100","101,243,304,290",-6.5,-6.4,-6.4,-6.7,-7,-3.8,86.24,5.24M,-6.45,367.03,-3.99,"1,310,000","1,373,000","1,287,000","5,332,753","253,941","7,061,396,043,720","336,256,954,463"
201211월,2.75,87.23,"24,400","26,600","24,400","108,484,747","4,931,125","2,773,808,981,750","126,082,226,443",-6.6,-6.6,-7.9,-10.6,-6.9,-3.8,88.91,5.17M,3.1,374.35,1.99,"1,406,000","1,437,000","1,297,000","5,508,293","250,377","7,528,721,393,943","342,214,608,816"
201212월,2.75,81.82,"25,750","26,650","24,400","80,286,983","4,460,388","2,069,281,014,710","114,960,056,373",-7.2,-7.2,-9,-11.3,-8.1,-5.5,91.82,3.59M,3.27,384.06,2.59,"1,522,000","1,533,000","1,430,000","5,464,997","303,611","8,111,166,519,485","450,620,362,194"
201301월,2.75,76.2,"24,400","27,100","24,200","106,833,025","4,856,047","2,737,175,474,030","124,417,067,001",-8.1,-8.1,-10.6,-12.1,-10.4,-7,97.49,4.38M,6.18,412.73,7.46,"1,448,000","1,576,000","1,372,000","6,615,321","300,696","9,736,383,830,277","442,562,901,376"
201302월,2.75,73.77,"26,500","26,600","23,700","67,893,582","3,573,346","1,729,534,664,170","91,028,140,219",-5.6,-5.5,-8.6,-9.9,-8.3,-4.9,92.05,4.12M,-5.58,426.63,3.37,"1,544,000","1,550,000","1,420,000","3,935,074","207,109","5,866,330,463,577","308,754,234,925"
201303월,2.75,86.82,"28,750","29,500","26,000","90,828,794","4,541,440","2,573,447,265,700","128,672,363,285",-5.9,-5.9,-10.8,-14.3,-9.4,-5.2,97.23,4.03M,5.63,436.66,2.35,"1,527,000","1,560,000","1,445,000","5,640,262","282,013","8,443,793,280,750","422,189,664,038"
201304월,2.75,81.75,"29,900","29,900","27,800","86,134,339","3,915,197","2,485,143,106,950","112,961,050,316",-5.7,-5.7,-9.7,-12.1,-9.3,-4.5,93.46,5.43M,-3.88,444.36,1.76,"1,520,000","1,540,000","1,475,000","5,058,603","229,937","7,628,038,466,287","346,729,021,195"
201305월,2.5,93.42,"32,200","32,200","28,550","99,765,241","4,750,726","3,047,127,493,080","145,101,309,194",-5.8,-5.8,-9.7,-10.5,-9.9,-6.4,91.97,5.87M,-1.59,468.63,5.46,"1,538,000","1,544,000","1,476,000","4,930,400","234,781","7,422,091,783,656","353,432,942,079"
201306월,2.5,88.18,"31,200","32,650","29,500","92,187,155","4,851,956","2,879,298,818,820","151,542,043,096",-2,-1.9,-4.3,-3,-5.6,-3.9,96.56,4.92M,4.99,468.43,-0.04,"1,342,000","1,540,000","1,261,000","8,311,860","437,466","11,462,563,166,296","603,292,798,226"
